Textfile,Determination_Year,Sub_Header,Sub_Section,Cond_Category,EScore
/home/admin/dockers/masters/data/pdfminer/search/MP08_0256-Mod-2.txt,2012,Pollution of Waters, Except as may be expressly provided by a OEH Environment Protection Licence the Proponent shall comply with section 120 of the Protection of the Environment Operations Act 1997 during the carrying out of the Project.  ,1,0.855
/home/admin/dockers/masters/data/pdfminer/search/MP08_0102-Mod-1.txt,2012,Creek Diversions for the Underground Project, The Proponent shall carry out the proposed diversions of Bettys Creek and Main Creek in the underground project area to the satisfaction of the DirectorGeneral.  ,1,0.4275
/home/admin/dockers/masters/data/pdfminer/search/MP08_0102-Mod-1.txt,2012,Creek Diversions for the Underground Project,Within 6 months of completing the construction of the diversions the Proponent shall submit an asexecuted report certified by a practising engineer to the DirectorGeneral and NOW.  ,1,0.665
/home/admin/dockers/masters/data/pdfminer/search/MP07_0087-Mod-2.txt,2012,Discharge, Except as may be expressly provided for by an EPL or in accordance with section 120 of the Protection of the Environment Operations Act 1997 the Proponent shall not discharge any mine water from the site. ,1,0.855
/home/admin/dockers/masters/data/pdfminer/search/MP07_0087-Mod-2.txt,2012,Discharge,However water may be transferred between the site and the adjoining Donaldson Coal Mine andor Abel Coal Mine in accordance with any approved Water Management Plan see below.  ,1,0.54
/home/admin/dockers/masters/data/pdfminer/search/MP10_0041-Mod-1.txt,2012,Water Discharges, The Proponent shall ensure that all surface water discharges from the site comply with the discharge limits both volume and quality set for the project in any EPL.  ,1,0.855
/home/admin/dockers/masters/data/pdfminer/search/MP08_0184-Mod-2.txt,2012,Surface Water Discharges, The Proponent shall ensure that all surface water discharges from the site comply with the discharge limits both volume and quality set for the project in any EPL.  ,1,0.855
/home/admin/dockers/masters/data/pdfminer/search/MP06_0014-Mod-4.txt,2012,Discharge Limits, The Proponent shall a not discharge any dirty water from the site except as may be expressly provided by an EPA Environment Protection Licence and b not discharge any saline water from the site.  ,1,0.64125
/home/admin/dockers/masters/data/pdfminer/search/MP05_0021-Mod-4.txt,2012,Discharge Limits, The Proponent shall not discharge any water from the site or irrigate any waste water on site except as may be expressly provided by an EPL or in accordance with section 120 of the POEO Act.   ,1,0.64125
/home/admin/dockers/masters/data/pdfminer/search/MP05_0021-Mod-4.txt,2012,Cumbo Creek Relocation, The Proponent shall design construct maintain and rehabilitate the proposed relocation of Cumbo Creek to the satisfaction of the DirectorGeneral.  ,1,0.4275
